"Month","Company","Price","Volume"
1985-01-01,"Apple",0.0953060239553452,175302400
1985-02-01,"Apple",0.0978701934218407,137737600
1985-03-01,"Apple",0.0850487649440765,247430400
1985-04-01,"Apple",0.0739368200302124,114060800
1985-05-01,"Apple",0.0713726878166199,57344000
1985-06-01,"Apple",0.0547051206231117,576016000
1985-07-01,"Apple",0.0619701445102692,103443200
1985-08-01,"Apple",0.0542777590453625,51564800
1985-09-01,"Apple",0.0504308119416237,37452800
1985-10-01,"Apple",0.0538504384458065,88345600
1985-11-01,"Apple",0.0636795237660408,92556800
1985-12-01,"Apple",0.0692358911037445,100195200
1986-01-01,"Apple",0.0760736018419266,117420800
1986-02-01,"Apple",0.0816299542784691,350022400
1986-03-01,"Apple",0.0841940268874168,108819200
1986-04-01,"Apple",0.093169242143631,222723200
1986-05-01,"Apple",0.103426530957222,257936000
1986-06-01,"Apple",0.126932442188263,199248000
1986-07-01,"Apple",0.120948746800423,87718400
1986-08-01,"Apple",0.10727271437645,150080000
1986-09-01,"Apple",0.118812002241611,232960000
1986-10-01,"Apple",0.1166752576828,138588800
1986-11-01,"Apple",0.11966672539711,151827200
1986-12-01,"Apple",0.137189030647278,347200000
1987-01-01,"Apple",0.139753863215446,120870400
1987-02-01,"Apple",0.191039368510246,246400000
1987-03-01,"Apple",0.230785578489304,396480000
1987-04-01,"Apple",0.228221505880356,217862400
1987-05-01,"Apple",0.273524075746536,132720000
1987-06-01,"Apple",0.266235619783401,83305600
1987-07-01,"Apple",0.273940414190292,94830400
1987-08-01,"Apple",0.275652319192886,63358400
1987-09-01,"Apple",0.360011368989944,138880000
1987-10-01,"Apple",0.399440973997116,116480000
1987-11-01,"Apple",0.26572260260582,188160000
1987-12-01,"Apple",0.228504464030266,181440000
1988-01-01,"Apple",0.307536333799362,330400000
1988-02-01,"Apple",0.286919236183167,199360000
1988-03-01,"Apple",0.297814100980759,171360000
1988-04-01,"Apple",0.266827315092087,181440000
1988-05-01,"Apple",0.282320290803909,82196800
1988-06-01,"Apple",0.293228149414062,229600000
1988-07-01,"Apple",0.320826679468155,94539200
1988-08-01,"Apple",0.310477316379547,85937600
1988-09-01,"Apple",0.268723249435425,246736000
1988-10-01,"Apple",0.293780982494354,90776000
1988-11-01,"Apple",0.262675195932388,143696000
1988-12-01,"Apple",0.268566012382507,212161600
1989-01-01,"Apple",0.279828578233719,100016000
1989-02-01,"Apple",0.272031337022781,487558400
1989-03-01,"Apple",0.250194907188416,170128000
1989-04-01,"Apple",0.243244707584381,166286400
1989-05-01,"Apple",0.271043866872787,80662400
1989-06-01,"Apple",0.339547604322433,179502400
1989-07-01,"Apple",0.283826649188995,48350400
1989-08-01,"Apple",0.277732491493225,139540800
1989-09-01,"Apple",0.311554402112961,74121600
1989-10-01,"Apple",0.309808373451233,137401600
1989-11-01,"Apple",0.322026252746582,61185600
1989-12-01,"Apple",0.307947188615799,146227200
1990-01-01,"Apple",0.260705202817917,183198400
